"Cotton lint"|"Lbs"|400|600|1000|800|1300|2000|||"18332447"|"38025416"
"Grain sorghum"|"Bu"|20|30|40|105|120|130|||"18332447"|"38025417"
"Wheat"|"Bu"|15|20|25|50|60|70|||"18332447"|"38025418"
"Corn"|"Bu"||||140|170|200|||"18332447"|"38025419"
"Alfalfa hay"|"Tons"||||4|6|7|||"18332447"|"38025420"
"Peanuts"|"Lbs"||||2500|3500|4500|||"18332448"|"38025421"
"Cotton lint"|"Lbs"|400|600|1000|800|1300|2000|||"18332448"|"38025422"
"Grain sorghum"|"Bu"|20|30|40|105|120|130|||"18332448"|"38025423"
"Wheat"|"Bu"|12|18|24|40|55|70|||"18332448"|"38025424"
"Corn"|"Bu"||||140|170|200|||"18332448"|"38025425"
"Alfalfa hay"|"Tons"||||4|6|7|||"18332448"|"38025426"
"Cotton lint"|"Lbs"||700|||1400||||"18332449"|"38025427"
"Corn silage"|"Tons"|||||||||"18332449"|"38025428"
"Grain sorghum"|"Lbs"||3400|||6200||||"18332449"|"38025429"
"Wheat"|"Bu"||27|||62||||"18332449"|"38025430"
"Corn"|"Bu"|||||190||||"18332449"|"38025431"
"Cotton lint"|"Lbs"|400|600|1000|800|1300|2000|||"18332450"|"38025432"
"Grain sorghum"|"Bu"|20|30|40|105|120|130|||"18332450"|"38025433"
"Wheat"|"Bu"|15|20|25|50|60|75|||"18332450"|"38025434"
"Corn"|"Bu"||||140|170|200|||"18332450"|"38025435"
"Alfalfa hay"|"Tons"||||5|7|8|||"18332450"|"38025436"
"Soybeans"|"Bu"||||37|45|55|||"18332450"|"38025437"
"Cotton lint"|"Lbs"|340|510|850|975|1148|1488|||"18332451"|"38025438"
"Grain sorghum"|"Lbs"|46|50|53|93|102|109|||"18332451"|"38025439"
"Corn"|"Bu"||||153|170|187|||"18332451"|"38025440"
"Wheat"|"Bu"|21|30|38|47|64|80|||"18332451"|"38025441"
"Alfafa"|"Tons"||||4|5|7|||"18332451"|"38025442"
"Soybeans"|"Bu"||||34|42|50|||"18332451"|"38025443"
"Peanuts"|"Lbs"||||2000|2800|3600|||"18332452"|"38025444"
"Cotton lint"|"Lbs"|320|480|800|650|1050|1600|||"18332452"|"38025445"
"Grain sorghum"|"Bu"|12|22|32|85|100|110|||"18332452"|"38025446"
"Wheat"|"Bu"|12|18|24|40|55|70|||"18332452"|"38025447"
"Corn"|"Bu"||||115|135|160|||"18332452"|"38025448"
"Alfalfa hay"|"Tons"||||4|6|7|||"18332452"|"38025449"
"Cotton lint"|"Lbs"|320|480|800|650|1050|1600|||"18332453"|"38025450"
"Grain sorghum"|"Bu"|12|22|32|95|100|110|||"18332453"|"38025451"
