"k"|"53649896"|"21466189"
"t"|"53649896"|"21466190"
"k"|"53649897"|"21466187"
"t"|"53649897"|"21466188"
"t"|"53649898"|"21466263"
"p"|"53649899"|"21465977"
"w"|"53649900"|"21466186"
"kk"|"53649901"|"21466185"
"k"|"53649902"|"21466184"
"p"|"53649903"|"21466183"
"t"|"53649904"|"21466071"
"k"|"53649904"|"21466072"
"kk"|"53649905"|"21466069"
"t"|"53649905"|"21466070"
"k"|"53649906"|"21466067"
"t"|"53649906"|"21466068"
"p"|"53649907"|"21465975"
"k"|"53649908"|"21466262"
"w"|"53649909"|"21465976"
"p"|"53649910"|"21466073"
"kk"|"53649911"|"21466260"
"t"|"53649911"|"21466261"
"k"|"53649912"|"21465973"
"t"|"53649912"|"21465974"
"t"|"53649913"|"21466259"
"p"|"53649914"|"21465972"
"k"|"53649962"|"21465963"
"t"|"53649962"|"21465965"
"k"|"53649963"|"21466254"
"t"|"53649963"|"21466256"
"t"|"53649964"|"21466252"
"p"|"53649965"|"21466182"
"k"|"53649966"|"21466132"
"t"|"53649966"|"21466134"
"p"|"53649967"|"21466130"
"t"|"53649968"|"21465918"
"k"|"53649968"|"21465920"
"t"|"53649969"|"21466218"
"kk"|"53649970"|"21466178"
"t"|"53649970"|"21466180"
"k"|"53649971"|"21466174"
"t"|"53649971"|"21466176"
"t"|"53649972"|"21466172"
"p"|"53649973"|"21466250"
"t"|"53649974"|"21466062"
"t"|"53649975"|"21466064"
"kk"|"53649976"|"21465967"
"t"|"53649976"|"21465969"
"p"|"53649977"|"21466060"
"t"|"53649994"|"21465308"
"p"|"53649995"|"21465763"
"k"|"53649996"|"21465455"
"t"|"53649996"|"21465457"
"t"|"53649997"|"21465451"
"k"|"53649997"|"21465453"
"t"|"53649998"|"21465438"
"p"|"53649999"|"21466191"
"k"|"53650000"|"21466193"
"t"|"53650000"|"21466195"
"k"|"53650001"|"21465440"
"t"|"53650001"|"21465442"
"kk"|"53650002"|"21465669"
"w"|"53650003"|"21465665"
"p"|"53650004"|"21465663"
"k"|"53650005"|"21465667"
"kk"|"53650006"|"21466018"
"t"|"53650006"|"21466020"
"t"|"53650007"|"21466012"
"p"|"53650008"|"21466010"
"k"|"53650009"|"21466014"
"t"|"53650009"|"21466016"
"k"|"53650042"|"21465610"
"k"|"53650043"|"21465302"
"k"|"53650045"|"21465609"
"k"|"53650046"|"21465938"
"k"|"53650048"|"21465939"
"kk"|"53650049"|"21466235"
"kk"|"53650050"|"21465940"
"k"|"53650051"|"21466236"
"kk"|"53650053"|"21466237"
"k"|"53650054"|"21466047"
"k"|"53650056"|"21466048"
"k"|"53650057"|"21466049"
"k"|"53650059"|"21465314"
"k"|"53650060"|"21465460"
"kk"|"53650061"|"21465461"
"p"|"53650062"|"21465522"
"m"|"53650063"|"21465385"
"kk"|"53650063"|"21465386"
"t"|"53650064"|"21465835"
"k"|"53650065"|"21465836"
"t"|"53650065"|"21465837"
"t"|"53650066"|"21465689"
"k"|"53650067"|"21465690"
"t"|"53650067"|"21465691"
"p"|"53650068"|"21465959"
"kk"|"53650069"|"21465358"
"t"|"53650069"|"21465359"
"p"|"53650070"|"21465387"
"t"|"53650071"|"21465710"
"kk"|"53650072"|"21465713"
"t"|"53650072"|"21465714"
"t"|"53650073"|"21465711"
"k"|"53650073"|"21465712"
"t"|"53650074"|"21465503"
"k"|"53650075"|"21465504"
"t"|"53650075"|"21465505"
"p"|"53650076"|"21466054"
"kk"|"53650077"|"21465506"
"t"|"53650077"|"21465507"
"k"|"53650079"|"21465312"
"k"|"53650080"|"21465768"
"kk"|"53650081"|"21465313"
"p"|"53650082"|"21466161"
"m"|"53650083"|"21465948"
"kk"|"53650083"|"21465949"
"t"|"53650084"|"21466242"
"k"|"53650085"|"21466243"
"t"|"53650085"|"21466244"
"p"|"53650086"|"21465459"
"t"|"53650087"|"21465765"
"t"|"53650088"|"21465766"
"kk"|"53650088"|"21465767"
"t"|"53650089"|"21465310"
"k"|"53650089"|"21465311"
"ss"|"53650106"|"21466227"
"k"|"53650106"|"21466229"
"ss"|"53650107"|"21465930"
"ss"|"53650109"|"21466146"
"t"|"53650110"|"21465600"
"k"|"53650110"|"21465602"
"t"|"53650111"|"21465598"
"p"|"53650112"|"21465752"
"k"|"53650113"|"21465604"
"w"|"53650114"|"21466043"
"ss"|"53650116"|"21465933"
"k"|"53650116"|"21465935"
"ss"|"53650117"|"21466045"
"ss"|"53650118"|"21466040"
"k"|"53650118"|"21466042"
"ss"|"53650119"|"21466038"
"w"|"53650120"|"21466231"
"p"|"53650121"|"21465932"
"kk"|"53650124"|"21465625"
"m"|"53650124"|"21465626"
"kk"|"53650125"|"21466241"
"k"|"53650127"|"21465465"
"kk"|"53650128"|"21465466"
"kk"|"53650129"|"21465562"
"kk"|"53650130"|"21465866"
"kk"|"53650131"|"21465411"
"p"|"53650309"|"21466124"
"t"|"53650310"|"21465596"
"kk"|"53650311"|"21465297"
"t"|"53650311"|"21465299"
"k"|"53650312"|"21465748"
"t"|"53650312"|"21465750"
"kk"|"53650313"|"21465884"
"k"|"53650314"|"21466078"
"t"|"53650314"|"21466080"
"t"|"53650315"|"21466074"
"k"|"53650315"|"21466076"
"p"|"53650316"|"21465431"
"kk"|"53650317"|"21465591"
"k"|"53650318"|"21465589"
"w"|"53650319"|"21465881"
"p"|"53650320"|"21465428"
"k"|"53650321"|"21465878"
"t"|"53650321"|"21465880"
"k"|"53650322"|"21465425"
"t"|"53650322"|"21465427"
"t"|"53650323"|"21465995"
"p"|"53650324"|"21465993"
"kk"|"53650341"|"21465418"
"p"|"53650342"|"21465585"
"k"|"53650343"|"21465871"
"w"|"53650344"|"21465587"
"k"|"53650345"|"21465582"
"t"|"53650345"|"21465584"
"k"|"53650346"|"21465578"
"t"|"53650346"|"21465580"
"t"|"53650347"|"21465576"
"p"|"53650348"|"21465417"
"p"|"53650349"|"21465990"
"k"|"53650350"|"21465420"
"t"|"53650350"|"21465422"
"t"|"53650351"|"21465873"
"k"|"53650351"|"21465875"
"kk"|"53650352"|"21465988"
"p"|"53650353"|"21465678"
"k"|"53650354"|"21465682"
"t"|"53650354"|"21465684"
"kk"|"53650355"|"21465686"
"t"|"53650355"|"21465688"
"t"|"53650356"|"21465680"
"k"|"53650459"|"21466143"
"p"|"53650460"|"21466139"
"w"|"53650461"|"21466141"
"kk"|"53650462"|"21466223"
"p"|"53650463"|"21465868"
"w"|"53650464"|"21465415"
"kk"|"53650465"|"21465564"
"k"|"53650466"|"21465870"
"kk"|"53650467"|"21465413"
"k"|"53650468"|"21465987"
"k"|"53650469"|"21465985"
"p"|"53650471"|"21465566"
"k"|"53650472"|"21465574"
"t"|"53650473"|"21465570"
"k"|"53650473"|"21465572"
"t"|"53650474"|"21465568"
"w"|"53650491"|"21465811"
"ss"|"53650493"|"21465813"
"k"|"53650493"|"21465815"
"ss"|"53650494"|"21465369"
"t"|"53650495"|"21465510"
"k"|"53650496"|"21465516"
"t"|"53650497"|"21465512"
"k"|"53650497"|"21465514"
"p"|"53650498"|"21465370"
"ss"|"53650499"|"21465924"
"ss"|"53650500"|"21466221"
"kk"|"53650501"|"21466219"
"p"|"53650502"|"21465926"
"ss"|"53650504"|"21465374"
"k"|"53650504"|"21465376"
"ss"|"53650505"|"21465816"
"ss"|"53650506"|"21465372"
"ss"|"53650522"|"21465378"
"w"|"53650523"|"21465822"
"ss"|"53650524"|"21465824"
"k"|"53650524"|"21465826"
"ss"|"53650525"|"21465914"
"k"|"53650525"|"21465916"
"ss"|"53650527"|"21466216"
"ss"|"53650528"|"21466128"
"ss"|"53650529"|"21465819"
"k"|"53650529"|"21465821"
"ss"|"53650530"|"21465696"
"w"|"53650531"|"21465698"
"w"|"53650533"|"21465483"
"ss"|"53650534"|"21465484"
"ss"|"53650535"|"21465485"
"k"|"53650537"|"21465789"
"ss"|"53650538"|"21465334"
"k"|"53650538"|"21465335"
"w"|"53650539"|"21465788"
"t"|"53650541"|"21465644"
"k"|"53650541"|"21465645"
"b"|"53650541"|"21465646"
"t"|"53650542"|"21465642"
"b"|"53650542"|"21465643"
"b"|"53650543"|"21465641"
"p"|"53650544"|"21465640"
"p"|"53650545"|"21466121"
"w"|"53650546"|"21466122"
"ss"|"53650547"|"21465911"
"ss"|"53650548"|"21466212"
"k"|"53650548"|"21466213"
"k"|"53650565"|"21466032"
"t"|"53650565"|"21466034"
"k"|"53650566"|"21466028"
"t"|"53650566"|"21466030"
"kk"|"53650567"|"21466026"
"p"|"53650569"|"21466119"
"kk"|"53650570"|"21466117"
"t"|"53650571"|"21466109"
"k"|"53650571"|"21466111"
"k"|"53650572"|"21466113"
"t"|"53650572"|"21466115"
"kk"|"53650573"|"21466209"
"t"|"53650573"|"21466211"
"p"|"53650574"|"21465906"
"k"|"53650575"|"21465908"
"t"|"53650575"|"21465910"
"t"|"53650576"|"21466207"
"w"|"53650577"|"21465704"
"p"|"53650578"|"21465833"
"kk"|"53650579"|"21465708"
"k"|"53650580"|"21465706"
"w"|"53650625"|"21465944"
"w"|"53650626"|"21466239"
"w"|"53650627"|"21465942"
"k"|"53650629"|"21465755"
"w"|"53650630"|"21465607"
"p"|"53650631"|"21465605"
"p"|"53650632"|"21465946"
"b"|"53650633"|"21466158"
"t"|"53650633"|"21466160"
"b"|"53650634"|"21465316"
"b"|"53650635"|"21465620"
