"Ap"||"A"||||0|||15|||15||0|0|0|0|0|0|100|100|100|100|100|100|90|99|100|51|60|71|30|50.9|52||0.2|||0.5|||2.5|||27.9|||19.8||28|30|49.5||18|||12||10|19.1|27|0|0|0|1.5|2.5|3||||1.3|1.43|1.55||||1.39|1.52|1.6|2.62|4|9|42|0.1|0.13|0.15||||23.6|29.2|32.5|7.8|14.2|19.3|39|43|48|1|2.1|3.8|24|35|39|6|13|19|0|5|12|".32"|".32"|0|1|2|0|0|0|0|0|1|0|1|2|9|16.5|22.7||||11.9|25.7|61.7|7.4|8.2|8.4||||||||||0|0.2|3.2|||||||||||||||||||"Low"|"Dry"|"18332447"|"53650723"
"Btkk"||"B"||||127|||203|||76||0|0|0|0|0|0|88|94|99|84|91|98|67|89|98|41|61|76|25|40.2|65||0.7|||1|||2.2|||23.5|||12.8||15|20.3|35||8.1|||12.2||22|39.5|40||14.7||0.1|0.3|0.5||||1.4|1.5|1.6||||1.54|1.64|1.8||4|9|14|0.1|0.15|0.17||||26.2|33.9|38.5|12.6|23.9|31.7|34|39|44|1.9|2.9|5.9|32|44|59|15|21|36|2|10|27|".20"|".20"|40|45|60|0|0|0|0|0|5|0|1|2|16.5|19.2|36.9||||20.7|55.2|75.9|7.9|8.3|9||||||||||0|0|2.6|||||||||||||||||||"Moderate"|"Moist"|"18332447"|"53650724"
"Btk"||"B"||||97|||127|||30||0|0|0|0|0|0|90|92|100|87|90|100|72|88|100|48|64|73|25|38.3|65||0.6|||0.7|||1.9|||19.2|||15.9||15|24|45||9.6|||14.4||22|37.7|40||8.3||0.1|0.5|0.7||||1.4|1.5|1.6||||1.59|1.69|1.8||1.4|5.7|14|0.1|0.14|0.17||||26.8|33.2|36.2|12.9|22.9|26.1|34|38|44|2.9|3.9|5.9|32|45|51|15|23|29|3|12|20|".24"|".24"|15|30|40|0|0|0|0|0|0|0|1|2|16.5|22.9|30.6||||24.4|55.2|69.6|7.9|8.2|8.4||||||||||0|0.2|1.9|||||||||||||||||||"Moderate"|"Moist"|"18332447"|"53650725"
"Bt"||"B"||||15|||97|||82||0|0|0|0|0|0|100|100|100|98|100|100|85|99|100|62|75|81|25|33.6|65||0.3|||0.7|||1.6|||15.3|||15.7||15|32.5|45||13|||19.5||22|33.9|40||3.1||1|1.5|2||||1.35|1.45|1.55||||1.57|1.67|1.72||1.4|5.7|14|0.11|0.15|0.18||||29.2|34.3|36.5|14.6|22.5|26.8|38|42|46|2.9|4.9|5.9|34|46|53|15|22|29|6|16|24|".28"|".28"|1|4|6|0|0|0|0|0|0|0|1|2|18.1|24.9|31.8||||26.4|27.3|70.8|7.4|8|8.4||||||||||0|1.3|3.9|||||||||||||||||||"Moderate"|"Moist"|"18332447"|"53650726"
"Bt"||"B"||||26|||103|||77||0|0|0|0|0|0|100|100|100|100|100|100|94|99|100|48|53|63|30|58.2|70||0|||0.6|||3.5|||34.9|||19.2||10|17.3|35||10.4|||6.9||20|24.5|35|0|0|1|0.2|0.5|0.75||||1.4|1.5|1.65||||1.56|1.66|1.73||4|9|14|0.13|0.15|0.16||||19.5|24.3|28.6|12.9|16.1|23|36|41|45|1.9|3.2|4.2|30|36|46|13|17|24|2|5|13|".28"|".28"|0|1|3|0|0|0|0|0|1|0|1|2|15.6|19.4|26.5||||15.4|20.9|65.5|7.4|7.6|8.4||||||||||0|1.6|3.8|||||||||||||||||||"Moderate"|"Dry"|"18332448"|"53650727"
"Ap"||"A"||||0|||26|||26||0|0|0|0|0|0|100|100|100|100|100|100|92|98|100|39|45|49|52|67.5|80||0|||0.7|||4|||40.5|||22.3||10|16.4|28||9.8|||6.6||10|16.1|20|0|0|0|0.5|0.9|1||||1.3|1.45|1.6||||1.38|1.53|1.68||14|28|42|0.12|0.14|0.16||||13|21.1|23.1|7.2|11.7|14.4|37|43|48|0.5|1.9|2.9|22|28|33|6|10|13|0|1|3|".24"|".24"|0|0|0|0|0|0|0|0|1|0|1|2|8.6|13.6|16.6||||7.8|15.1|24.6|6.6|7.5|8.4||||||||||0|1|4.3|||||||||||||||||||"Low"|"Dry"|"18332448"|"53650728"
"Btkk"||"B"||||103|||142|||39||0|0|0|0|0|0|90|95|98|81|90|97|66|86|97|38|54|65|30|47.2|70||0.9|||1.9|||4.7|||26|||13.7||5|19.2|35||11.5|||7.7||20|33.6|40|8|16.8|25|0.1|0.15|0.3||||1.4|1.5|1.65||||1.44|1.54|1.69||4|9|14|0.08|0.11|0.13||||14.6|26|27.8|11.2|20.1|22|32|39|44|0.5|0.9|2.9|27|37|42|9|15|17|0|5|9|".24"|".24"|40|52|65|0|0|0|0|0|1|0|1|2|9.6|13.2|15.1||||14.7|48.3|54.1|7.9|8.3|9||||||||||0|0|0|||||||||||||||||||"Moderate"|"Dry"|"18332448"|"53650729"
"Btk"||"B"||||142|||203|||61||0|0|0|0|0|0|95|97|99|90|95|98|77|91|98|42|54|66|30|51.3|70||1.1|||2|||5.1|||28.2|||14.9||5|18.3|35||11|||7.3||20|30.4|40|4|9.1|15|0.1|0.2|0.3||||1.4|1.5|1.65||||1.54|1.64|1.69||4|9|14|0.1|0.12|0.15||||16.3|25.7|27.9|12|18.9|22.1|34|40|44|1.9|2.9|3.9|29|37|45|11|17|21|1|6|12|".24"|".24"|15|20|50|0|0|0|0|0|1|0|1|2|12.4|16.5|19.4||||18|51.1|58.4|7.9|8.1|8.4||||||||||0|0|0.6|||||||||||||||||||"Moderate"|"Dry"|"18332448"|"53650730"
"Bkkm"||"B"||||79|||89|||10||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||0||0|0|0||||0|0|0||||||||||||||0.01|0.06|1|||||||||||||||||||0|0|14|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Very high"|"Dry"|"18332449"|"53650731"
"Ap"||"A"||||0|||20|||20||0|0|0|0|0|0|100|100|100|100|100|100|93|98|100|56|62|70|30|49.8|52|0|0.5|1|0.5|1|1.5|1.5|2.5|3|20|24.9|26|10|20.9|24|30|31|45||12.4|||18.6||12|19.2|27|0|0|0|1.5|2.5|3||||1.25|1.38|1.5||||1.33|1.46|1.5||4|9|14|0.12|0.17|0.18||||18|28.9|32.1|8.6|13.8|18.6|40|44|49|0.5|1.9|2.9|25|35|39|7|13|18|1|6|11|".28"|".28"|0|0|0|0|0|0|0|0|1|0|1|2|10.6|16.6|22.7||||9.5|18.1|30.7|6.6|7.5|8.4||||||||||0|2.1|5.4|||||||||||||||||||"Low"|"Dry"|"18332449"|"53650732"
