"Silty clay loam"||"107575418"|"109430068"
"Clay loam"||"107575419"|"109430620"
"Silty clay loam"||"107575420"|"109430067"
"Clay loam"||"107575421"|"109430619"
"Clay"||"107575422"|"109429788"
"Clay loam"||"107575423"|"109429789"
"Loam"||"107575424"|"109429787"
"Clay loam"||"107575425"|"109429902"
"Silty clay loam"||"107575426"|"109429900"
"Loam"||"107575427"|"109429901"
"Silty clay loam"||"107575428"|"109430612"
"Clay loam"||"107575429"|"109430059"
"Loam"||"107575430"|"109429899"
"Loam"||"107575431"|"109429781"
"Silty clay loam"||"107575432"|"109430611"
"Clay loam"||"107575433"|"109430058"
"Loam"||"107575434"|"109429780"
"Clay loam"||"107575435"|"109430616"
"Sandy clay loam"||"107575436"|"109429903"
"Clay loam"||"107575437"|"109430064"
"Sandy clay loam"||"107575438"|"109430615"
"Sandy clay loam"||"107575439"|"109429785"
"Clay loam"||"107575440"|"109430063"
"Fine sandy loam"||"107575441"|"109429784"
"Loam"||"107575442"|"109430065"
"Clay loam"||"107575443"|"109430618"
"Fine sandy loam"||"107575444"|"109430066"
"Sandy clay loam"||"107575445"|"109429786"
"Clay loam"||"107575446"|"109430617"
"Sandy clay loam"||"107575447"|"109429905"
"Loam"||"107575448"|"109429906"
"Clay loam"||"107575449"|"109429904"
"Clay loam"||"107575450"|"109429782"
"Sandy clay loam"||"107575451"|"109429783"
"Sandy clay loam"||"107575452"|"109430614"
"Clay loam"||"107575453"|"109430062"
"Sandy clay loam"||"107575454"|"109430613"
"Clay loam"||"107575455"|"109430061"
"Loam"||"107575456"|"109430060"
"Silty clay loam"||"107575565"|"109430765"
"Clay loam"||"107575566"|"109430847"
"Silty clay loam"||"107575567"|"109430769"
"Clay loam"||"107575568"|"109430767"
"Clay"||"107575569"|"109430845"
"Clay loam"||"107575570"|"109431091"
"Clay loam"||"107575571"|"109431089"
"Silty clay loam"||"107575572"|"109430457"
"Clay loam"||"107575573"|"109430983"
"Clay"||"107575574"|"109430985"
"Clay loam"||"107575575"|"109429178"
"Silty clay loam"||"107575576"|"109430373"
"Clay loam"||"107575577"|"109430979"
"Clay"||"107575578"|"109430981"
"Silty clay"||"107575579"|"109430978"
"Clay"||"107575580"|"109430976"
"Silty clay loam"||"107575581"|"109430372"
"Sandy clay loam"||"107575582"|"109430882"
"Clay loam"||"107575583"|"109430880"
"Clay loam"||"107575584"|"109430878"
"Sandy clay loam"||"107575585"|"109430876"
"Clay loam"||"107575586"|"109430843"
"Sandy clay loam"||"107575587"|"109431087"
"Clay loam"||"107575588"|"109431085"
"Silty clay loam"||"107575589"|"109430886"
"Silty clay"||"107575590"|"109430884"
"Clay"||"107575591"|"109431095"
"Clay"||"107575592"|"109430888"
"Silty clay loam"||"107575593"|"109430890"
"Silty clay"||"107575594"|"109430892"
"Silty clay loam"||"107575595"|"109430770"
"Silty clay"||"107575596"|"109431092"
"Clay loam"||"107575597"|"109430848"
"Silty clay loam"||"107575598"|"109430850"
"Silty clay"||"107575633"|"109429333"
"Silty clay loam"||"107575634"|"109429331"
"Clay"||"107575635"|"109429190"
"Clay loam"||"107575636"|"109429328"
"Silty clay loam"||"107575637"|"109429627"
"Clay loam"||"107575638"|"109429629"
"Clay"||"107575639"|"109429488"
"Clay"||"107575640"|"109429624"
"Clay loam"||"107575641"|"109429187"
"Silty clay loam"||"107575642"|"109429485"
"Clay loam"||"107575643"|"109430761"
"Clay"||"107575644"|"109430759"
"Clay loam"||"107575645"|"109430757"
"Clay loam"||"107575646"|"109430763"
"Silty clay loam"||"107575647"|"109431081"
"Clay loam"||"107575648"|"109430841"
"Silty clay loam"||"107575649"|"109431083"
"Clay loam"||"107575650"|"109430054"
"Silty clay loam"||"107575651"|"109430606"
"Loam"||"107575652"|"109429897"
"Silty clay loam"||"107575653"|"109429890"
"Clay loam"||"107575654"|"109430053"
"Loam"||"107575655"|"109430605"
"Clay loam"||"107575656"|"109430050"
"Clay loam"||"107575657"|"109429892"
"Loam"||"107575658"|"109429896"
"Silty clay loam"||"107575659"|"109429894"
"Sandy clay loam"||"107575660"|"109431079"
"Clay loam"||"107575661"|"109430839"
"Sandy clay loam"||"107575662"|"109431075"
"Clay loam"||"107575663"|"109430874"
"Clay loam"||"107575664"|"109430872"
"Sandy clay loam"||"107575665"|"109430837"
"Clay loam"||"107575666"|"109431077"
"Fine sandy loam"||"107575719"|"109430376"
"Loam"||"107575720"|"109430232"
"Sandy clay loam"||"107575721"|"109430233"
"Clay loam"||"107575722"|"109430234"
"Fine sandy loam"||"107575723"|"109430992"
"Loam"||"107575724"|"109430377"
"Sandy clay loam"||"107575725"|"109430464"
"Clay loam"||"107575726"|"109430465"
"Loam"||"107575727"|"109430989"
