"SC-SM"|No |"53650723"|"100686001"
"CL"|Yes|"53650723"|"100686002"
|No |"53650724"|"100686003"
"CL"|Yes|"53650724"|"100686004"
|No |"53650725"|"100686005"
"CL"|Yes|"53650725"|"100686006"
|No |"53650725"|"100686007"
|No |"53650726"|"100686008"
|No |"53650726"|"100686009"
"CL"|Yes|"53650726"|"100686010"
"CL"|Yes|"53650727"|"100686011"
|No |"53650727"|"100686012"
"SC"|Yes|"53650728"|"100686013"
"SM"|No |"53650728"|"100686014"
"CL"|Yes|"53650729"|"100686015"
|No |"53650729"|"100686016"
"CL"|Yes|"53650730"|"100686017"
"CL"|Yes|"53650732"|"100686018"
"CL"|Yes|"53650733"|"100686019"
"SC"|Yes|"53650734"|"100686020"
"CL"|No |"53650734"|"100686021"
"CL"|Yes|"53650735"|"100686022"
"CL"|Yes|"53650736"|"100686023"
"SM"|No |"53650736"|"100686024"
"CL"|Yes|"53650737"|"100686025"
"SC"|No |"53650737"|"100686026"
"CL"|Yes|"53650738"|"100686027"
"CL-ML"|No |"53650738"|"100686028"
"CL"|Yes|"53650739"|"100686029"
"CL"|Yes|"53650740"|"100686030"
"CL"|Yes|"53650741"|"100686031"
"SM"|No |"53650741"|"100686032"
"CL"|Yes|"53650742"|"100686033"
"SC"|No |"53650742"|"100686034"
"SC"|Yes|"53650743"|"100686035"
"CL"|Yes|"53650744"|"100686036"
|No |"53650744"|"100686037"
"CL"|Yes|"53650745"|"100686038"
|No |"53650745"|"100686039"
"CL"|Yes|"53650746"|"100686040"
|No |"53650746"|"100686041"
|No |"53650747"|"100686042"
|No |"53650747"|"100686043"
"CL"|Yes|"53650747"|"100686044"
|No |"53650748"|"100686045"
"CL"|Yes|"53650748"|"100686046"
|No |"53650748"|"100686047"
|No |"53650749"|"100686048"
"CL"|Yes|"53650749"|"100686049"
|No |"53650750"|"100686050"
"CL"|Yes|"53650750"|"100686051"
"CL"|Yes|"53650751"|"100686052"
"CL"|Yes|"53650752"|"100686053"
"CL"|Yes|"53650754"|"100686054"
|No |"53650755"|"100686055"
"CL"|Yes|"53650755"|"100686056"
|No |"53650755"|"100686057"
"CL"|Yes|"53650756"|"100686058"
|No |"53650756"|"100686059"
|No |"53650757"|"100686060"
"CL"|Yes|"53650757"|"100686061"
"CL"|Yes|"53650758"|"100686062"
|No |"53650758"|"100686063"
|No |"53650758"|"100686064"
"CL"|Yes|"53650759"|"100686065"
"CL"|Yes|"53650760"|"100686066"
"CL"|Yes|"53650761"|"100686067"
"SM"|No |"53650761"|"100686068"
"CL"|Yes|"53650762"|"100686069"
"SC"|No |"53650762"|"100686070"
"SC"|Yes|"53650763"|"100686071"
"CL"|Yes|"53650764"|"100686072"
|No |"53650764"|"100686073"
"CL"|Yes|"53650765"|"100686074"
|No |"53650765"|"100686075"
"CL"|Yes|"53650766"|"100686076"
|No |"53650766"|"100686077"
"SC-SM"|Yes|"53650767"|"100686078"
"CL"|No |"53650768"|"100686079"
"SC"|Yes|"53650768"|"100686080"
"SC-SM"|No |"53650768"|"100686081"
"SC-SM"|No |"53650769"|"100686082"
"SC"|Yes|"53650769"|"100686083"
"CL"|No |"53650769"|"100686084"
"SC-SM"|No |"53650770"|"100686085"
"SC"|Yes|"53650770"|"100686086"
"CL"|No |"53650770"|"100686087"
"SM"|No |"53650659"|"100685867"
"CL"|Yes|"53650659"|"100685868"
"SC"|Yes|"53650660"|"100685869"
"SM"|No |"53650660"|"100685870"
"SC-SM"|No |"53650661"|"100685871"
"CL"|Yes|"53650661"|"100685872"
"SC-SM"|No |"53650662"|"100685873"
"CL"|Yes|"53650662"|"100685874"
"SC-SM"|Yes|"53650663"|"100685875"
"SC"|No |"53650663"|"100685876"
"SC"|No |"53650664"|"100685877"
"SC-SM"|Yes|"53650664"|"100685878"
"SC"|No |"53650665"|"100685879"
"SC-SM"|Yes|"53650665"|"100685880"
"SC"|No |"53650666"|"100685881"
"SC-SM"|Yes|"53650666"|"100685882"
"ML"|Yes|"53650667"|"100685883"
"MH"|No |"53650667"|"100685884"
"SC"|No |"53650668"|"100685885"
"GC"|Yes|"53650668"|"100685886"
