"Alfafa"|"Tons"||||5|6|8|"363754"|"13634978"
"Corn"|"Bu"||||180|200|220|"363754"|"13634979"
"Cotton lint"|"Lbs"|400|600|1000|1150|1350|1750|"363754"|"13634980"
"Grain sorghum"|"Bu"|54|59|63|110|120|128|"363754"|"13634981"
"Wheat"|"Bu"|25|35|45|55|75|95|"363754"|"13634982"
"Corn"|"Bu"||||153|170|187|"363755"|"13634983"
"Cotton lint"|"Lbs"|340|510|850|975|1148|1488|"363755"|"13634984"
"Grain sorghum"|"Bu"|46|50|53|93|102|109|"363755"|"13634985"
"Soybeans"|"Bu"||||34|42|50|"363755"|"13634986"
"Wheat"|"Bu"|21|30|38|47|64|80|"363755"|"13634987"
"Alfafa"|"Tons"||||4|5|7|"363755"|"13634988"
"Cotton lint"|"Lbs"|300|450|750|862|1012|1312|"363756"|"13634989"
"Grain sorghum"|"Bu"|40|44|47|82|90|96|"363756"|"13634990"
"Corn"|"Bu"||||130|150|170|"363757"|"13634962"
"Cotton lint"|"Lbs"|400|500|700|800|1000|1200|"363757"|"13634963"
"Grain sorghum"|"Bu"|35|40|45|70|80|90|"363757"|"13634964"
"Peanuts"|"Lbs"||||3600|3800|4000|"363757"|"13634965"
"Wheat"|"Bu"|20|30|40|50|60|70|"363757"|"13634966"
"Alfafa"|"Tons"||||4|5|7|"363757"|"13634967"
"Soybeans"|"Bu"||||20|30|40|"363757"|"13634968"
"Alfalfa hay"|"Tons"||||5|7|8|"363759"|"13634957"
"Corn"|"Bu"||||140|170|200|"363759"|"13634958"
"Cotton lint"|"Lbs"|400|600|1000|800|1300|2000|"363759"|"13634959"
"Grain sorghum"|"Bu"|20|30|40|105|120|130|"363759"|"13634960"
"Wheat"|"Bu"|15|20|25|50|60|70|"363759"|"13634961"
"Corn"|"Bu"||||162|187|204|"363760"|"13634996"
"Cotton lint"|"Lbs"|340|510|935|1020|1190|1530|"363760"|"13634997"
"Grain sorghum"|"Bu"|47|50|55|98|106|115|"363760"|"13634998"
"Soybeans"|"Bu"||||42|50|60|"363760"|"13634999"
"Wheat"|"Bu"|21|30|38|50|68|85|"363760"|"13635000"
"Alfalfa hay"|"Tons"||||5|6|8|"363764"|"13634656"
"Corn"|"Bu"||||180|200|220|"363764"|"13634657"
"Cotton lint"|"Lbs"|400|600|1000|1150|1350|1750|"363764"|"13634658"
"Grain sorghum"|"Bu"|54|59|63|110|120|128|"363764"|"13634659"
"Wheat"|"Bu"|25|35|45|55|75|95|"363764"|"13634660"
"Alfalfa hay"|"Tons"||||4|5|7|"363765"|"13634661"
"Corn"|"Bu"||||153|170|187|"363765"|"13634662"
"Cotton lint"|"Lbs"|340|510|850|975|1148|1488|"363765"|"13634663"
"Grain sorghum"|"Bu"|46|50|53|93|102|109|"363765"|"13634664"
"Wheat"|"Bu"|21|30|38|47|64|80|"363765"|"13634665"
"Soybeans"|"Bu"||||34|42|50|"363765"|"13634666"
"Alfalfa hay"|"Tons"|||||5||"363769"|"13634613"
"Cotton lint"|"Lbs"||275|||450||"363769"|"13634614"
"Grain sorghum"|"Bu"||25|||70||"363769"|"13634615"
"Wheat"|"Bu"||15|||40||"363769"|"13634616"
"Cotton lint"|"Lbs"||200|||750||"363773"|"13634866"
"Grain sorghum"|"Bu"||25|||80||"363773"|"13634867"
"Wheat"|"Bu"||15|||40||"363773"|"13634868"
"Cotton lint"|"Lbs"||150|||600||"363774"|"13634869"
"Grain sorghum"|"Bu"||25|||70||"363774"|"13634870"
"Wheat"|"Bu"||15|||35||"363774"|"13634871"
"Corn"|"Bu"||||190|220|240|"363776"|"13634634"
"Cotton lint"|"Lbs"|400|600|1100|1200|1400|1800|"363776"|"13634635"
"Grain sorghum"|"Bu"|55|60|65|115|125|135|"363776"|"13634636"
"Soybeans"|"Bu"||||50|60|70|"363776"|"13634637"
"Wheat"|"Bu"|25|35|45|60|80|100|"363776"|"13634638"
"Corn"|"Bu"||||162|187|204|"363777"|"13634644"
"Cotton lint"|"Lbs"|340|510|935|1020|1190|1530|"363777"|"13634645"
"Grain sorghum"|"Bu"|47|50|55|98|106|115|"363777"|"13634646"
"Soybeans"|"Bu"||||42|50|60|"363777"|"13634647"
"Wheat"|"Bu"|21|30|38|50|68|85|"363777"|"13634648"
"Corn"|"Bu"||||180|200|220|"2428277"|"13634877"
"Cotton lint"|"Lbs"|400|600|1000|1150|1350|1750|"2428277"|"13634878"
"Grain sorghum"|"Bu"|54|59|63|110|120|128|"2428277"|"13634879"
"Soybeans"|"Bu"||||40|50|60|"2428277"|"13634880"
"Wheat"|"Bu"|25|35|45|55|75|95|"2428277"|"13634881"
"Corn"|"Bu"||||153|170|187|"2428278"|"13634888"
"Cotton lint"|"Lbs"|340|510|850|975|1148|1488|"2428278"|"13634889"
"Grain sorghum"|"Bu"|46|50|53|93|102|109|"2428278"|"13634890"
"Soybeans"|"Bu"||||34|42|50|"2428278"|"13634891"
"Wheat"|"Bu"|21|30|38|47|64|80|"2428278"|"13634892"
"Alfafa"|"Tons"||||4|5|7|"2428278"|"13634893"
"Corn"|"Bu"||||120|140|160|"2428279"|"13634929"
"Cotton lint"|"Lbs"|350|450|600|750|900|1100|"2428279"|"13634930"
"Grain sorghum"|"Bu"|30|35|40|60|70|80|"2428279"|"13634931"
"Wheat"|"Bu"|20|25|30|45|55|65|"2428279"|"13634932"
"Corn"|"Bu"||||190|220|240|"2428280"|"13634672"
"Cotton lint"|"Lbs"|400|600|1100|1200|1400|1800|"2428280"|"13634673"
"Grain sorghum"|"Bu"|55|60|65|115|125|135|"2428280"|"13634674"
"Soybeans"|"Bu"||||50|60|70|"2428280"|"13634675"
"Wheat"|"Bu"|25|35|45|60|80|100|"2428280"|"13634676"
"Corn"|"Bu"||||190|220|240|"2428281"|"13634969"
"Cotton lint"|"Lbs"|400|600|1100|1200|1400|1800|"2428281"|"13634970"
"Grain sorghum"|"Bu"|55|60|65|115|125|135|"2428281"|"13634971"
"Wheat"|"Bu"|25|35|45|60|80|100|"2428281"|"13634972"
"Soybeans"|"Bu"||||50|60|70|"2428281"|"13634973"
"Corn"|"Bu"||||162|187|204|"2428282"|"13634991"
"Cotton lint"|"Lbs"|340|510|935|1020|1190|1530|"2428282"|"13634992"
"Grain sorghum"|"Bu"|47|50|55|98|106|115|"2428282"|"13634993"
"Soybeans"|"Bu"||||42|50|60|"2428282"|"13634994"
"Wheat"|"Bu"|21|30|38|50|68|85|"2428282"|"13634995"
"Grain sorghum"|"Bu"|40|45|49|86|94|100|"2428283"|"13634974"
"Wheat"|"Bu"|19|26|34|45|60|75|"2428283"|"13634975"
"Soybeans"|"Bu"||||37|45|52|"2428283"|"13634976"
"Cotton lint"|"Lbs"|300|450|825|900|1050|1350|"2428283"|"13634977"
"Grain sorghum"|"Bu"|10|18|26|28|40|48|"2428287"|"13634654"
"Wheat"|"Bu"|6|10|16|15|30|45|"2428287"|"13634655"
"Grain sorghum"|"Bu"|30|35|40|60|70|80|"2428288"|"13634938"
"Wheat"|"Bu"|20|25|30|45|55|65|"2428288"|"13634939"
"Corn"|"Bu"||||120|140|160|"2428288"|"13634940"
"Cotton lint"|"Lbs"|350|450|600|750|900|1100|"2428288"|"13634941"
"Wheat"|"Bu"|20|25|30|45|55|65|"2428290"|"13634942"
"Corn"|||||120|140|160|"2428290"|"13634943"
"Cotton lint"|"Lbs"|350|450|600|750|900|1100|"2428290"|"13634944"
"Grain sorghum"|"Bu"|30|35|40|60|70|80|"2428290"|"13634945"
"Cotton lint"|"Lbs"|350|500|900|1000|1200|1600|"2428291"|"13634918"
"Grain sorghum"|"Bu"|40|45|50|85|95|105|"2428291"|"13634919"
"Soybeans"|"Bu"||||30|40|50|"2428291"|"13634920"
"Wheat"|"Bu"|20|30|35|40|60|80|"2428291"|"13634921"
"Corn"|"Bu"||||150|170|190|"2428291"|"13634922"
"Alfafa"|"Tons"||||4|5|7|"2428291"|"13634923"
"Peanuts"|"Lbs"||||3600|3800|4000|"2428291"|"13634924"
